Hi,Hi.
Would you please pay attention?,Je! Tafadhali ungesikiza?
"Yes, she'll probably come home.","Ndio, labda atarudi nyumbani."
You almost crashed into my car.,Karibu uligonga ndani ya gari langu.
You can always ask me for help.,Unaweza kuniuliza msaada kila wakati.
You can always ask me for help.,Unaweza kuniuliza msaada kila wakati.
"You can drive a car, can't you?","Unaweza kuendesha gari, sivyo?"
You can read between the lines.,Unaweza kusoma kati ya mistari.
You know the rest of the story.,Unajua hadithi iliyobaki.
You must make up for lost time.,Lazima upange kwa wakati uliopotea.
You should have started by now.,Unapaswa kuwa umeanza sasa.
You should pay back your debts.,Unapaswa kulipa deni lako.
You should rest after exercise.,Unapaswa kupumzika baada ya mazoezi.
You shouldn't have made me beg.,Haupaswi kunifanya niombe.
You'll need a temporary bridge.,Utahitaji daraja la muda.
Your glasses fell on the floor.,Vioo vyako vilianguka sakafuni.
Your necktie matches your suit.,Shingo yako inalingana na suti yako.
Your questions were too direct.,Maswali yako yalikuwa moja kwa moja.
Your room is cleaner than mine.,Chumba chako ni safi kuliko yangu.
A computer is a complex machine.,Kompyuta ni mashine ngumu.
Actions speak louder than words.,Vitendo vinaongea zaidi kuliko maneno.
Actions speak louder than words.,Vitendo vinaongea zaidi kuliko maneno.
All my friends can speak French.,Rafiki zangu wote wanaweza kuzungumza Kifaransa.
"At last, she solved the problem.","Mwishowe, alitatua shida."
Beijing is the capital of China.,Beijing ni mji mkuu wa Uchina.
Call me as soon as you find Tom.,Nipigie simu mara tu unapopata Tom.
Call me as soon as you find Tom.,Nipigie simu mara tu unapopata Tom.
Can you recommend a good doctor?,Je! Unaweza kupendekeza daktari mzuri?
Did you see how he looked at me?,Je! Umeona jinsi alinitazama?
Didn't I ask you not to do that?,Sikukuuliza usifanye hivyo?
Do you know anyone in Australia?,Je! Unamjua mtu yeyote huko Australia?
Do you think it was an accident?,Je! Unafikiri ilikuwa ajali?
Do you want to play golf or not?,Je! Unataka kucheza gofu au la?
Does this remind you of anybody?,Je! Hii inakukumbusha mtu yeyote?
Don't worry. I'll stay with you.,Usijali. Nitakaa nawe.
Dr. Smith has a lot of patients.,Dk. Smith ana wagonjwa wengi.
Dr. Smith has a lot of patients.,Dk. Smith ana wagonjwa wengi.
Even children can understand it.,Hata watoto wanaweza kuielewa.
Every cloud has a silver lining.,Kila wingu lina bitana ya fedha.
"Everything I did, I did for Tom.","Kila kitu nilichofanya, nilifanya kwa Tom."
Friends should help one another.,Marafiki wanapaswa kusaidiana.
Giant pandas live only in China.,Pandas kubwa huishi China tu.
Have any letters arrived for me?,Je! Barua zozote zimenijia?
Have any letters arrived for me?,Je! Barua zozote zimenijia?
Have you finished your homework?,Umemaliza kazi yako ya nyumbani?
"He failed, due to lack of money.","Alishindwa, kwa sababu ya ukosefu wa pesa."
He forgot to turn off the light.,Alisahau kuzima taa.
He has been waiting for an hour.,Amekuwa akingojea saa moja.
He is getting better day by day.,Anaendelea kuwa bora siku kwa siku.
He is getting better day by day.,Anaendelea kuwa bora siku kwa siku.
He likes to sing in the bathtub.,Yeye anapenda kuimba kwenye bafu.
He placed the book on the shelf.,Aliweka kitabu hicho kwenye rafu.
He remained single all his life.,Alibaki single maisha yake yote.
He told us an interesting story.,Alituambia hadithi ya kupendeza.
He tried it over and over again.,Alijaribu tena na tena.
He tried to get rid of the ants.,Alijaribu kuondoa mchwa.
"Hey, what are you talking about?","Hei, unazungumza nini?"
His help is indispensable to us.,Msaada wake ni muhimu sana kwetu.
His son became a famous pianist.,Mwanawe alikua piano maarufu.
How did Tom know where Mary was?,Tom alijuaje Mariamu alikuwa wapi?
I asked him to send us the book.,Nilimwuliza atutumie kitabu hicho.
I asked him to send us the book.,Nilimwuliza atutumie kitabu hicho.
I believe we spoke on the phone.,Ninaamini tuliongea kwa simu.
I believe what you said is true.,Ninaamini kile ulichosema ni kweli.
I changed my address last month.,Nilibadilisha anwani yangu mwezi uliopita.
I did not understand him at all.,Sikuelewa kabisa.
I didn't really mean to hit you.,Siku maana kabisa kukupiga.
I didn't study at all yesterday.,Sikujifunza kabisa jana.
I don't even know anybody there.,Sijui hata mtu yeyote hapo.
I don't know if I still have it.,Sijui ikiwa bado ninayo.
I don't know if I still have it.,Sijui ikiwa bado ninayo.
I don't know what to do anymore.,Sijui nifanye nini tena.
I don't know when he'll be here.,Sijui ni lini atakuwa hapa.
I don't live that far from here.,Siishi mbali na hapa.
I had my only son die of cancer.,Nilikuwa na mtoto wangu wa pekee aliyekufa na saratani.
I have a week to do my homework.,Nina wiki ya kufanya kazi yangu ya nyumbani.
I knew it couldn't be that easy.,Nilijua haiwezi kuwa rahisi.
I know what you're trying to do.,Najua unachojaribu kufanya.
I received her letter yesterday.,Nilipokea barua yake jana.
I saw a bird flying over a tree.,Niliona ndege akiruka juu ya mti.
I suggest we go out for a drink.,Ninapendekeza tuende kunywa.
I think that's what's happening.,Nadhani hiyo ndio inafanyika.
I want to marry a girl like her.,Nataka kuoa msichana kama yeye.
I want you to tell me the truth.,Nataka uniambie ukweli.
I was only there for three days.,Nilikuwa tu kwa siku tatu.
I was thinking of getting a dog.,Nilikuwa nikifikiria kupata mbwa.
I was waiting for that question.,Nilikuwa nikingojea swali hilo.
I wasn't trying to hurt anybody.,Sikujaribu kumuumiza mtu yeyote.
I will stay here all this month.,Nitakaa hapa mwezi huu wote.
I will stay here all this month.,Nitakaa hapa mwezi huu wote.
I wish you had more time for me.,Natamani ungekuwa na wakati zaidi kwangu.
I'd like to talk to the manager.,Ningependa kuzungumza na meneja.
I'll get you something to drink.,Nitakupa kitu cha kunywa.
I'll give you anything but this.,Nitakupa chochote isipokuwa hii.
I'm getting ready for the worst.,Ninajiandaa kwa mbaya zaidi.
I'm going to London this summer.,Ninaenda London msimu huu wa joto.
I'm gonna have to call you back.,Nitalazimika kukupigia tena.
I'm married and I have children.,Nimeolewa na nina watoto.
I'm married and I have children.,Nimeolewa na nina watoto.
I'm not sure if this is correct.,Sina hakika kama hii ni sawa.
I'm taking a couple of days off.,Ninachukua siku kadhaa mbali.
I'm very grateful for your help.,Ninashukuru sana kwa msaada wako.
"If you get sleepy, just tell me.","Ukipata usingizi, niambie tu."
Is somebody teaching you French?,Je! Kuna mtu anayekufundisha Kifaransa?
Is this place far from the bank?,Je! Mahali hapa ni mbali na benki?
It is getting colder day by day.,Inakua baridi siku hadi siku.
It is getting warmer day by day.,Inakua joto siku hadi siku.
"It was not one battle, but many.","Haikuwa vita moja, lakini nyingi."
It's a matter of life and death.,Ni suala la maisha na kifo.
It's more complicated than that.,Ni ngumu zaidi kuliko hiyo.
It's raining cats and dogs here.,Inanyesha paka na mbwa hapa.
Lots of famous people come here.,Watu wengi maarufu huja hapa.
Magnesium is a chemical element.,Magnesiamu ni kitu cha kemikali.
May I come and see you tomorrow?,Naweza kuja kukuona kesho?
Maybe Tom has something to hide.,Labda Tom ana kitu cha kujificha.
Maybe you'd better come with us.,Labda bora uje nasi.
My aunt brought me some flowers.,Shangazi yangu aliniletea maua.
My aunt is older than my mother.,Shangazi yangu ni mkubwa kuliko mama yangu.
My boss is twice as old as I am.,Bosi wangu ni mzee mara mbili kama mimi.
My children really like animals.,Watoto wangu wanapenda wanyama.
My dream is to become a teacher.,Ndoto yangu ni kuwa mwalimu.
My father is very angry with me.,Baba yangu ananikasirikia sana.
My father likes pizza very much.,Baba yangu anapenda pizza sana.
My father sometimes goes abroad.,Baba yangu wakati mwingine huenda nje ya nchi.
My friends invited me to dinner.,Rafiki zangu walinialika kwenye chakula cha jioni.
My friends invited me to dinner.,Rafiki zangu walinialika kwenye chakula cha jioni.
My grandfather comes from Osaka.,Babu yangu anatoka Osaka.
My grandfather comes from Osaka.,Babu yangu anatoka Osaka.
My grandfather was born in 1920.,Babu yangu alizaliwa mnamo 1920.
My grandfather was born in 1920.,Babu yangu alizaliwa mnamo 1920.
My grandfather was born in 1920.,Babu yangu alizaliwa mnamo 1920.
My grandmother lives by herself.,Bibi yangu anaishi peke yake.
My hobby is collecting old toys.,Hobby yangu ni kukusanya vitu vya kuchezea vya zamani.
My hobby is making model planes.,Hobby yangu inafanya ndege za mfano.
My house is close to a bus stop.,Nyumba yangu iko karibu na kituo cha basi.
My life has changed quite a lot.,Maisha yangu yamebadilika sana.
My mother bought me a new dress.,Mama yangu alininunulia mavazi mapya.
My mother is not always at home.,Mama yangu sio nyumbani kila wakati.
My mother is reading a magazine.,Mama yangu anasoma gazeti.
My office is on the fifth floor.,Ofisi yangu iko kwenye ghorofa ya tano.
My son is a rebellious teenager.,Mwanangu ni kijana waasi.
My son is going to be a teacher.,Mwanangu atakuwa mwalimu.
No one I know likes Tom anymore.,Hakuna mtu ninayemjua anapenda Tom tena.
No one cares about that anymore.,Hakuna mtu anayejali hilo tena.
No one lets me have fun anymore.,Hakuna mtu anayeniruhusu kufurahiya tena.
No one survived the plane crash.,Hakuna mtu aliyeokoka ajali ya ndege.
None of my friends drink coffee.,Hakuna rafiki yangu anayekunywa kahawa.
None of my friends drink coffee.,Hakuna rafiki yangu anayekunywa kahawa.
Only a few people understood me.,Ni watu wachache tu walionielewa.
Only a few people understood me.,Ni watu wachache tu walionielewa.
Only adults may watch that film.,Watu wazima tu ndio wanaweza kutazama filamu hiyo.
Only adults may watch that film.,Watu wazima tu ndio wanaweza kutazama filamu hiyo.
Pick up your things and go away.,Chukua vitu vyako na uende.
Please answer all the questions.,Tafadhali jibu maswali yote.
Please come as soon as possible.,Tafadhali njoo haraka iwezekanavyo.
Please correct my pronunciation.,Tafadhali sahihisha matamshi yangu.
Please give me a piece of bread.,Tafadhali nipe kipande cha mkate.
Please help me with my homework.,Tafadhali nisaidie na kazi yangu ya nyumbani.
Please phone me before you come.,Tafadhali nipigie simu kabla ya kuja.
Please shut the door behind you.,Tafadhali funga mlango nyuma yako.
Please tell me where to go next.,Tafadhali niambie niende wapi.
Pollution is damaging our earth.,Uchafuzi unaharibu dunia yetu.
Put the book where you found it.,Weka kitabu mahali ulipopata.
Put the book where you found it.,Weka kitabu mahali ulipopata.
She always keeps her room clean.,Yeye daima huweka chumba chake safi.
She always keeps her room clean.,Yeye daima huweka chumba chake safi.
She asked him why he was crying.,Alimuuliza kwanini alikuwa analia.
She asked him why he was crying.,Alimuuliza kwanini alikuwa analia.
She asked me if I was all right.,Aliniuliza ikiwa nilikuwa sawa.
She asked me if I was all right.,Aliniuliza ikiwa nilikuwa sawa.
She asked me to open the window.,Aliniuliza nifungue dirisha.
She asked me to wake her at six.,Aliniuliza nimuamsha saa sita.
She asked us to leave her alone.,Alituuliza tuachane naye.
She asked us to leave her alone.,Alituuliza tuachane naye.
She bought two pounds of butter.,Alinunua pauni mbili za siagi.
She bought two pounds of butter.,Alinunua pauni mbili za siagi.
She cleaned her room in a hurry.,Alisafisha chumba chake haraka.
She cleaned her room in a hurry.,Alisafisha chumba chake haraka.
She doesn't live there any more.,Yeye haishi huko tena.
She eats nothing but vegetables.,Yeye hula chochote isipokuwa mboga.
She finished reading the letter.,Alimaliza kusoma barua.
She finished reading the letter.,Alimaliza kusoma barua.
She gave him a slap in the face.,Alimpa kofi usoni.
She had suffered a heart attack.,Alikuwa amepata mshtuko wa moyo.
She has been dead for ten years.,Amekufa kwa miaka kumi.
She has been dead for ten years.,Amekufa kwa miaka kumi.
She is good at speaking English.,Yeye ni mzuri kwa kuzungumza Kiingereza.
She is looking for her car keys.,Anatafuta funguo zake za gari.
She pretended that she was sick.,Alijifanya kuwa alikuwa mgonjwa.
She teaches reading and writing.,Yeye hufundisha kusoma na kuandika.
She thought that I was a doctor.,Alidhani kwamba mimi ni daktari.
She thought that I was a doctor.,Alidhani kwamba mimi ni daktari.
She told me she knew my brother.,Aliniambia anamjua kaka yangu.
She told us not to make a noise.,Alituambia tusifanye kelele.
She told us the road was closed.,Alituambia barabara imefungwa.
She took a taxi to the hospital.,Alichukua teksi kwenda hospitalini.
She took off the lid of the box.,Aliondoa kifuniko cha sanduku.
She tore the letter into pieces.,Alirarua barua hiyo vipande vipande.
She translated it word for word.,Alitafsiri neno kwa neno.
She traveled all over the world.,Alisafiri kote ulimwenguni.
She usually goes to bed at nine.,Yeye kawaida huenda kulala saa tisa.
She was busy with the housework.,Alikuwa busy na kazi ya nyumbani.
She was busy with the housework.,Alikuwa busy na kazi ya nyumbani.
She was nearly hit by a bicycle.,Alikaribia kupigwa na baiskeli.
That old woman lives by herself.,Mwanamke huyo mzee anaishi peke yake.
That old woman lives by herself.,Mwanamke huyo mzee anaishi peke yake.
That old woman lives by herself.,Mwanamke huyo mzee anaishi peke yake.
That old woman lives by herself.,Mwanamke huyo mzee anaishi peke yake.
The bottle is filled with water.,Chupa imejaa maji.
The cat is sleeping on the sofa.,Paka amelala kwenye sofa.
The cat which you found is mine.,Paka ambayo umepata ni yangu.
The early bird catches the worm.,Ndege wa mapema hukamata minyoo.
The fire started in the kitchen.,Moto ulianza jikoni.
The gang was planning a robbery.,Kikundi hicho kilikuwa kinapanga wizi.
The house is said to be haunted.,Nyumba hiyo inasemekana kuwa haunted.
The house is said to be haunted.,Nyumba hiyo inasemekana kuwa haunted.
The library is on the 4th floor.,Maktaba iko kwenye sakafu ya 4.
The movie starts at ten o'clock.,Sinema huanza saa kumi.
The police shot Tom's tires out.,Polisi walipiga matairi ya Tom.
There are many books in my room.,Kuna vitabu vingi kwenye chumba changu.
There are many tourists in town.,Kuna watalii wengi katika mji.
They accused me of being a liar.,Walinituhumu kuwa mwongo.
They are struggling for freedom.,Wanajitahidi kwa uhuru.
They sat in the shade of a tree.,Walikaa kwenye kivuli cha mti.
This matter does not concern me.,Jambo hili halinijali.
This word is derived from Latin.,Neno hili limetokana na Kilatini.
Tom and Mary are playing tennis.,Tom na Mary wanacheza tenisi.
Tom and Mary were close friends.,Tom na Mary walikuwa marafiki wa karibu.
Tom did the same thing Mary did.,Tom alifanya kitu kile kile ambacho Mariamu alifanya.
Tom has always had that problem.,Tom amekuwa na shida hiyo kila wakati.
Tom is trying to break the lock.,Tom anajaribu kuvunja kufuli.
Tom listened to classical music.,Tom alisikiliza muziki wa classical.
Tom once worked as a tour guide.,Tom aliwahi kufanya kazi kama mwongozo wa utalii.
Tom pushed Mary down the stairs.,Tom alimsukuma Mariamu chini ya ngazi.
Tom said that Mary wasn't tired.,Tom alisema kuwa Mariamu hakuwa amechoka.
Tom speaks French like a native.,Tom anaongea Kifaransa kama asili.
Tom told me not to talk to Mary.,Tom aliniambia nisiongee na Mariamu.
We encourage your participation.,Tunahimiza ushiriki wako.
We have eaten there three times.,Tumekula hapo mara tatu.
We have to do this by ourselves.,Lazima tufanye hivyo na sisi wenyewe.
We must prevent war at any cost.,Lazima tuzuie vita kwa gharama yoyote.
We use a lot of water every day.,Tunatumia maji mengi kila siku.
We went to the museum last week.,Tulikwenda kwenye jumba la kumbukumbu wiki iliyopita.
"We'll find a solution, I'm sure.","Tutapata suluhisho, nina hakika."
Were you at school at that time?,Ulikuwa shuleni wakati huo?
Were you at school at that time?,Ulikuwa shuleni wakati huo?
What are you punishing them for?,Je! Unawaadhibu nini?
What are you thinking about now?,Je! Unafikiria nini sasa?
What did you put into the boxes?,Uliweka nini kwenye masanduku?
What do you do in the afternoon?,Je! Unafanya nini mchana?
What do you expect to find here?,Je! Unatarajia kupata nini hapa?
What time does your plane leave?,Je! Ndege yako inaondoka saa ngapi?
What time does your plane leave?,Je! Ndege yako inaondoka saa ngapi?
What time does your plane leave?,Je! Ndege yako inaondoka saa ngapi?
Who do you think she lives with?,Je! Unafikiri anaishi na nani?
Why couldn't you come yesterday?,Kwa nini hauwezi kuja jana?
Why couldn't you come yesterday?,Kwa nini hauwezi kuja jana?
Why do you want to study abroad?,Kwa nini unataka kusoma nje ya nchi?
Will you sell your house to him?,Je! Utamuuza nyumba yako?
Will you sell your house to him?,Je! Utamuuza nyumba yako?
Won't you join our conversation?,Je! Hautajiunga na mazungumzo yetu?
Would you like to dance with me?,Je! Ungependa kucheza nami?
Would you like to dance with me?,Je! Ungependa kucheza nami?
Would you like to sell your car?,Je! Ungependa kuuza gari yako?
Yesterday my uncle bought a dog.,Jana mjomba wangu alinunua mbwa.
You can't do two things at once.,Hauwezi kufanya vitu viwili mara moja.
You can't do two things at once.,Hauwezi kufanya vitu viwili mara moja.
You can't do two things at once.,Hauwezi kufanya vitu viwili mara moja.
You could come and live with me.,Unaweza kuja kuishi nami.
You don't have to come tomorrow.,Sio lazima uje kesho.
You should have seen that movie.,Unapaswa kuona sinema hiyo.
You should keep your desk clean.,Unapaswa kuweka dawati lako safi.
You should keep your room clean.,Unapaswa kuweka chumba chako safi.
You'd better consult the doctor.,Afadhali kushauriana na daktari.
"You're Tom's friend, aren't you?","Wewe ni rafiki wa Tom, sivyo?"
Your chair is identical to mine.,Kiti chako ni sawa na yangu.
Your chair is identical to mine.,Kiti chako ni sawa na yangu.
Your privacy is important to us.,Usiri wako ni muhimu kwetu.
Your problem is similar to mine.,Shida yako ni sawa na yangu.
A woman without a man is nothing.,Mwanamke bila mwanaume sio kitu.
Are these my socks or your socks?,Je! Hizi ni soksi zangu au soksi zako?
Be careful when you cross a road.,Kuwa mwangalifu wakati unavuka barabara.
"Because he lied, he was punished.","Kwa sababu alisema uwongo, aliadhibiwa."
"Because he's sick, he can't come.","Kwa sababu yeye ni mgonjwa, hawezi kuja."
"Because he's sick, he can't come.","Kwa sababu yeye ni mgonjwa, hawezi kuja."
Can it be phrased in another way?,Je! Inaweza kusambazwa kwa njia nyingine?
Can't you do anything to help me?,Je! Huwezi kufanya chochote kunisaidia?
Do not accept the world as it is.,Usikubali ulimwengu kama ulivyo.
Do you have the key to this door?,Je! Unayo ufunguo wa mlango huu?
Don't trust anybody but yourself.,Usiamini mtu yeyote isipokuwa wewe mwenyewe.
Don't worry. You can count on me.,Usijali. Unaweza kunitegemea.
Each country has its own customs.,Kila nchi ina mila yake mwenyewe.
Even children can read this book.,Hata watoto wanaweza kusoma kitabu hiki.
"Everyone went there, didn't they?","Kila mtu alikwenda huko, sivyo?"
"For that reason, he lost his job.","Kwa sababu hiyo, alipoteza kazi."
"For that reason, he lost his job.","Kwa sababu hiyo, alipoteza kazi."
Have you ever prayed in a mosque?,Je! Umewahi kuomba katika msikiti?
He always treats me like a child.,Yeye hunitendea kila wakati kama mtoto.
He continued walking for a while.,Aliendelea kutembea kwa muda.
He felt her hand on his shoulder.,Alihisi mkono wake juu ya bega lake.
He gave his life for his country.,Alitoa maisha yake kwa nchi yake.
He is a potential world champion.,Yeye ni bingwa wa ulimwengu anayeweza.
He is a wolf in sheep's clothing.,Yeye ni mbwa mwitu katika mavazi ya kondoo.
He is just now speaking with her.,Yeye sasa anaongea naye.
He read the letter over and over.,Alisoma barua hiyo tena na tena.
He told me not to drive too fast.,Aliniambia nisiende haraka sana.
He told me not to drive too fast.,Aliniambia nisiende haraka sana.
He told me not to drive too fast.,Aliniambia nisiende haraka sana.
He told me not to drive too fast.,Aliniambia nisiende haraka sana.
He told me not to drive too fast.,Aliniambia nisiende haraka sana.
He will arrive in Paris tomorrow.,Atafika Paris kesho.
He works in the planning section.,Yeye hufanya kazi katika sehemu ya kupanga.
His son was expelled from school.,Mwanawe alifukuzwa shuleni.
How many are there in your class?,Je! Kuna wangapi katika darasa lako?
"Hurry up, or you'll miss the bus.","Haraka, au utakosa basi."
I am ashamed of my son's conduct.,Nina aibu juu ya mwenendo wa mwanangu.
I asked Tom to stop following us.,Nilimuuliza Tom aache kutufuata.
I asked Tom to stop following us.,Nilimuuliza Tom aache kutufuata.
I did not mean to disappoint her.,Siku maana ya kumkatisha tamaa.
I didn't know where it came from.,Sikujua ilitoka wapi.
I didn't know where it came from.,Sikujua ilitoka wapi.
I didn't know where it came from.,Sikujua ilitoka wapi.
I do not think that he will come.,Sidhani kama atakuja.
I don't expect anything from you.,Sitarajii chochote kutoka kwako.
I don't have a problem with this.,Sina shida na hii.
I don't have the address with me.,Sina anwani na mimi.
I feel chilled to the bone today.,Ninahisi nimejaa mfupa leo.
I gave up smoking six months ago.,Niliacha kuvuta sigara miezi sita iliyopita.
I just finished reading the book.,Nimemaliza kusoma kitabu.
I love you more than you love me.,Ninakupenda zaidi kuliko unavyonipenda.
I need to know why you need this.,Nahitaji kujua kwanini unahitaji hii.
I promise I'll never do it again.,Ninaahidi sitafanya tena.
I really need to ask you a favor.,Ninahitaji kukuuliza neema.
I received your letter yesterday.,Nilipokea barua yako jana.
I received your letter yesterday.,Nilipokea barua yako jana.
I saw many tourists on the beach.,Niliona watalii wengi kwenye pwani.
I think that she knows the truth.,Nadhani anajua ukweli.
"I understand, but I cannot agree.","Ninaelewa, lakini siwezi kukubaliana."
I was vaccinated against the flu.,Nilichanjwa dhidi ya homa hiyo.
I went to the hospital yesterday.,Nilikwenda hospitalini jana.
I will go there even if it rains.,Nitaenda huko hata ikiwa mvua inanyesha.
I wish I could go to the concert.,Natamani ningeenda kwenye tamasha.
I wish I could go to the concert.,Natamani ningeenda kwenye tamasha.
I'd rather be a bird than a fish.,Ningependa kuwa ndege kuliko samaki.
I'll get off at the next station.,Nitaondoka kwenye kituo kinachofuata.
I'll stay there till six o'clock.,Nitakaa hapo hadi saa sita.
I'm going to need some more time.,Nitahitaji muda zaidi.
I'm not interested in doing that.,Sina nia ya kufanya hivyo.
I'm sure Tom would never do that.,Nina hakika Tom hatawahi kufanya hivyo.
I'm the one responsible for that.,Mimi ndiye anayewajibika kwa hilo.
I've got to get out of this town.,Lazima nitoke katika mji huu.
I've just arrived at the airport.,Nimefika tu kwenye uwanja wa ndege.
I've never seen anything like it.,Sijawahi kuona kitu kama hicho.
"If anybody can help us, it's Tom.","Ikiwa mtu yeyote anaweza kutusaidia, ni Tom."
"If it smells funny, don't eat it.","Ikiwa harufu ya kuchekesha, usile."
"If you don't work, you can't eat.","Ikiwa haufanyi kazi, huwezi kula."
It was an unexpected opportunity.,Ilikuwa fursa isiyotarajiwa.
It's going to be quite hot today.,Itakuwa moto kabisa leo.
It's just the tip of the iceberg.,Ni ncha tu ya barafu.
Japanese cars sell well overseas.,Magari ya Kijapani yanauza vizuri nje ya nchi.
Let me know if you hear anything.,Napenda kujua ikiwa unasikia chochote.
Let me know if you hear anything.,Napenda kujua ikiwa unasikia chochote.
Maybe we should take Tom with us.,Labda tunapaswa kuchukua Tom nasi.
Most Englishmen are conservative.,Waingereza wengi ni wahafidhina.
My hobby is visiting old temples.,Hobby yangu ni kutembelea mahekalu ya zamani.
My sister went to Kobe yesterday.,Dada yangu alikwenda Kobe jana.
No one comes to visit me anymore.,Hakuna mtu anayekuja kunitembelea tena.
One billion people speak English.,Watu bilioni moja huzungumza Kiingereza.
One billion people speak English.,Watu bilioni moja huzungumza Kiingereza.
Please call me up if you want me.,Tafadhali nipigie simu ikiwa unataka mimi.
Quite a few people have two cars.,Watu wachache wana magari mawili.
"Right now, it is a half past ten.","Hivi sasa, ni nusu iliyopita."
School begins at half past eight.,Shule huanza saa nusu nane iliyopita.
School begins at half past eight.,Shule huanza saa nusu nane iliyopita.
Shall we go to my place or yours?,Je! Tuende mahali pangu au yako?
She refused my offer to help her.,Alikataa ofa yangu ya kumsaidia.
She says she will call you later.,Anasema atakuita baadaye.
She speaks English very fluently.,Anazungumza Kiingereza kwa ufasaha sana.
She told me an interesting story.,Aliniambia hadithi ya kupendeza.
She used to work for our company.,Alikuwa akifanya kazi kwa kampuni yetu.
She was accused of telling a lie.,Alishtakiwa kwa kusema uwongo.
She was afraid to cross the road.,Aliogopa kuvuka barabara.
She was wearing dark brown shoes.,Alikuwa amevaa viatu vya hudhurungi.
She went to the back of the line.,Alikwenda nyuma ya mstari.
She went upstairs to her bedroom.,Alikwenda juu chumbani kwake.
Something doesn't make any sense.,Kitu hakifanyi akili yoyote.
Tell me how to solve the problem.,Niambie jinsi ya kutatua shida.
Tell me how to solve the problem.,Niambie jinsi ya kutatua shida.
Tell me where to put these books.,Niambie ni wapi kuweka vitabu hivi.
That was the best day of my life.,Hiyo ilikuwa siku bora ya maisha yangu.
That was the best day of my life.,Hiyo ilikuwa siku bora ya maisha yangu.
That's certainly one possibility.,Kwa kweli hiyo ni uwezekano mmoja.
The air conditioner doesn't work.,Kiyoyozi haifanyi kazi.
The bullet went through his body.,Bullet ilipitia mwili wake.
The clock is above the fireplace.,Saa iko juu ya mahali pa moto.
The conference will end tomorrow.,Mkutano huo utaisha kesho.
The conference will end tomorrow.,Mkutano huo utaisha kesho.
The doctor examined the patients.,Daktari alichunguza wagonjwa.
The floor was covered with blood.,Sakafu ilifunikwa na damu.
The man kept talking for an hour.,Mtu huyo aliendelea kuzungumza kwa saa moja.
The police accused him of murder.,Polisi walimshutumu kwa mauaji.
The police accused him of murder.,Polisi walimshutumu kwa mauaji.
The police didn't find any clues.,Polisi hawakupata dalili yoyote.
The speech lasted thirty minutes.,Hotuba hiyo ilidumu dakika thelathini.
The speech lasted thirty minutes.,Hotuba hiyo ilidumu dakika thelathini.
The station is not far from here.,Kituo sio mbali na hapa.
The station is not far from here.,Kituo sio mbali na hapa.
The storm caused a lot of damage.,Dhoruba ilisababisha uharibifu mwingi.
The storm caused a lot of damage.,Dhoruba ilisababisha uharibifu mwingi.
The train leaves at nine o'clock.,Treni inaondoka saa tisa.
There are some books on the desk.,Kuna vitabu kadhaa kwenye dawati.
There is a big market for coffee.,Kuna soko kubwa kwa kahawa.
There is no hope of his recovery.,Hakuna tumaini la kupona kwake.
There is nothing to be scared of.,Hakuna kitu cha kuogopa.
There was a light rain yesterday.,Kulikuwa na mvua nyepesi jana.
They are proud of their daughter.,Wanajivunia binti yao.
They gave him a chance to escape.,Walimpa nafasi ya kutoroka.
They had to stay at home all day.,Walilazimika kukaa nyumbani siku nzima.
This T-shirt is too small for me.,T-shati hii ni ndogo sana kwangu.
This boat is no longer seaworthy.,Mashua hii sio ya bahari tena.
This book belongs to the library.,Kitabu hiki ni cha maktaba.
This book is older than that one.,Kitabu hiki ni mzee kuliko hicho.
This book is unique in many ways.,Kitabu hiki ni cha kipekee kwa njia nyingi.
This book was printed in England.,Kitabu hiki kilichapishwa huko England.
This desk takes up too much room.,Dawati hii inachukua chumba nyingi.
This doll is a gift from my aunt.,Doll hii ni zawadi kutoka kwa shangazi yangu.
This doll is a gift from my aunt.,Doll hii ni zawadi kutoka kwa shangazi yangu.
This is a very important meeting.,Huu ni mkutano muhimu sana.
This movie is worth seeing again.,Sinema hii inafaa kuona tena.
This story has an unhappy ending.,Hadithi hii ina mwisho usio na furaha.
This tie doesn't go with my suit.,Tie hii haiendi na suti yangu.
Tom almost forgot the conference.,Tom karibu alisahau mkutano huo.
Tom can't speak very much French.,Tom hawezi kuzungumza Kifaransa sana.
Tom couldn't hold back his tears.,Tom hakuweza kuzuia machozi yake.
Tom doesn't like Mary's attitude.,Tom hapendi mtazamo wa Mariamu.
Tom doesn't need to buy anything.,Tom haitaji kununua chochote.
Tom is getting married on Monday.,Tom anaolewa Jumatatu.
Tom is living with his uncle now.,Tom anaishi na mjomba wake sasa.
Tom likes tea better than coffee.,Tom anapenda chai bora kuliko kahawa.
Tom pretended he didn't see Mary.,Tom alijifanya hakuona Mariamu.
Tom served two terms in Congress.,Tom alitumikia vifungu viwili katika Congress.
Tom stole money from his friends.,Tom aliiba pesa kutoka kwa marafiki zake.
Tom turned on the kitchen faucet.,Tom aliwasha bomba la jikoni.
Tom was extraordinarily handsome.,Tom alikuwa mzuri sana.
Tom was supposed to meet me here.,Tom alitakiwa kukutana nami hapa.
Tom went downtown this afternoon.,Tom alikwenda katikati mwa jiji hili.
We are going to a dance tomorrow.,Tunakwenda kucheza kesho.
We enjoyed swimming in the river.,Tulifurahia kuogelea katika mto.
